id,name,sex,age,contact_state
45989641,Daisy,Female,Adult,NV
45988823,Peter Pan,Male,Young,NV
45988816,Little Lacy,Female,Adult,NV
45988814,Patrick,Male,Adult,NV
45987766,Puppies,Female,Baby,AZ
45987322,Cali,Female,Young,NV
45985729,Zelia,Female,Adult,NV
45984048,Lomax,Male,Young,NV
45983456,Rocky,Male,Adult,NV
45982562,Ella,Female,Young,NV
45982546,Penny,Female,Young,NV
45982553,Chocolate,Female,Baby,NV
45982538,Charlette,Female,Young,NV
45981407,Zack,Female,Adult,NV
45981405,Betty,Female,Adult,NV
45980158,Follie,Male,Adult,NV
45980154,Scout,Male,Adult,NV
45979793,Bandit,Male,Adult,NV
45979787,Samson,Male,Adult,NV
45979784,Duke,Male,Young,NV
45979783,Gatsby,Male,Adult,NV
45978432,Bear,Male,Adult,NV
45975578,Tiny,Female,Adult,NV
45975544,Ruffy,Male,Adult,NV
45975178,Rosebud,Female,Adult,NV
45975175,Prince,Male,Adult,NV
45973102,Sparky,Male,Adult,NV
45973113,Bella,Female,Adult,NV
45973097,Princesalola,Female,Adult,NV
45973088,Brandy,Female,Young,NV
45973081,Michael,Male,Adult,NV
45967088,Carmen,Female,Adult,NV
45966541,Ember,Female,Adult,NV
45966538,Rogue,Male,Young,NV
45966526,Barley,Female,Young,NV
45966461,Felicity,Female,Young,NV
45962677,Wilbur,Male,Young,NV
45962675,Mochi,Male,Young,NV
45961141,Kash,Male,Adult,AZ
45959652,Badger,Male,Young,NV
45957822,Twixx,Male,Young,NV
45956950,Thunder,Male,Young,AZ
45956409,Sasha,Female,Senior,NV
45956384,Scoobydoo,Male,Adult,NV
45955609,Pico,Male,Young,NV
45955503,Jack,Male,Young,NV
45955392,Norman,Male,Adult,NV
45955309,Harper,Male,Baby,NV
45955292,Jerry,Male,Young,NV
45948995,Lioness,Female,Young,AZ
45948988,Minnie,Female,Young,AZ
45948983,Polo,Male,Young,AZ
45948074,Duchess,Female,Adult,NV
45948073,Riley,Male,Adult,NV
45946828,Sprocket,Male,Young,NV
45946783,Jedi,Male,Baby,NV
45945669,Charlott,Female,Baby,NV
45945618,Doris,Female,Young,NV
45945609,Steve,Male,Young,NV
45945344,Joey,Male,Adult,NV
45945119,Venus,Female,Young,NV
45945109,Serena,Female,Young,NV
45944294,Bear Bear,Male,Young,AZ
45944275,Bouji,Female,Adult,AZ
45943335,Tipsey,Female,Senior,NV
45942310,Scout,Female,Adult,NV
45935433,Ben,Male,Young,NV
45935416,Calvin,Male,Baby,NV
45935404,Snook,Female,Baby,NV
45931876,Jester,Male,Adult,NV
45929513,Thor,Male,Young,NV
45929506,China,Female,Adult,NV
45924406,Lucielle,Female,Adult,AZ
45924352,Dolly,Female,Adult,AZ
45924259,Archie,Male,Baby,AZ
45924189,Casan,Male,Adult,AZ
45924145,Ares,Male,Adult,AZ
45923620,Darby,Male,Baby,NV
45923614,Burgess,Male,Adult,NV
45923611,Trinity,Female,Young,NV
45923603,Blair,Male,Baby,NV
45923600,Duane,Male,Baby,NV
45923317,Doja,Female,Baby,NV
45922564,Abby,Female,Young,NV
45919405,Roxie,Female,Adult,NV
45917309,Blue,Male,Young,NV
45917305,Maximus,Male,Young,NV
45917298,Max,Male,Young,NV
45911260,Tank,Male,Adult,NV
45911262,Bella,Female,Adult,NV
45910994,Biscuit,Male,Adult,NV
45910880,Nala,Female,Adult,NV
45910871,Joey,Male,Senior,NV
45910854,Barney,Male,Senior,NV
45909761,Bowser,Male,Senior,NV
45909739,Basil,Male,Senior,NV
45909727,Avalon,Female,Adult,NV
45909676,Twinky,Female,Adult,NV
45909613,Gizmo,Male,Senior,NV
45909537,Dog,Male,Senior,NV
45909432,Tum Tum,Male,Adult,NV
45909359,Jake,Male,Senior,NV
45909239,Buddy Aka Max,Male,Adult,NV
45909021,Petey,Male,Adult,NV
45909014,Max,Male,Adult,NV
45909000,Destiny,Female,Senior,NV
45908992,Felix,Male,Young,NV
45908932,Jarid,Male,Adult,NV
45908759,Bella Aka Candy,Female,Adult,NV
45908725,Lucy @,Female,Young,NV
45908485,Simba,Male,Adult,NV
45903125,Angie,Female,Adult,NV
45901985,Pongo,Male,Baby,NV
45901986,Marian,Female,Baby,NV
45901989,Tiana,Female,Baby,NV
45901991,Flit,Male,Baby,NV
45901992,Kocoum,Male,Baby,NV
45901994,Rollie,Male,Baby,NV
45901995,Beast,Male,Baby,NV
45901996,Mulan,Female,Baby,NV
45901993,Charming,Male,Baby,NV
45901987,Meeko,Male,Baby,NV
45901468,Camilla,Female,Adult,NV
45899886,Montague,Male,Adult,NV
45899881,Romeo,Male,Adult,NV
45894467,Ashley,Female,Young,NV
45894420,Halsey,Female,Young,NV
45894011,Messina,Female,Adult,AZ
45893703,Namimi,Female,Senior,AZ
45892818,Pookie,Female,Young,NV
45892807,Holly,Female,Young,NV
45892791,Td,Male,Young,NV
45892773,Mohave,Male,Adult,NV
45892741,Maverick,Male,Senior,NV
45892721,Daisy,Female,Adult,NV
45892436,Cracker,Female,Adult,NV
45892461,Buddy,Male,Young,NV
45892251,Melo,Male,Adult,NV
45892260,Lele,Female,Adult,NV
45888002,Kenny,Male,Senior,NV
45887879,Angel,Female,Senior,NV
45887106,Comet,Male,Adult,NV
45881556,Mulligan,Male,Adult,AZ
45877791,Maxine,Female,Adult,NV
45871975,Roxie,Female,Adult,NV
45869315,Mav,Female,Baby,NV
45869301,Nikki,Male,Senior,NV
45866890,Lucy,Female,Adult,NV
45866703,Hudsyn,Female,Young,NV
45862018,Silus,Male,Adult,NV
45862011,Tiger,Male,Adult,NV
45855897,Simba,Male,Adult,NV
45855747,Shaggy,Male,Adult,NV
45852639,Buffin,Male,Young,AZ
45848450,Charlie,Male,Adult,NV
45844125,Kane,Male,Young,NV
45841113,King Henry,Male,Adult,NV
45841108,Tucker,Male,Young,NV
45841101,Rosa,Female,Young,NV
45841088,Rosie,Female,Adult,NV
45841086,Andy,Male,Adult,NV
45837065,Princess,Female,Young,NV
45837033,Bella,Female,Young,NV
45834738,Pancho,Male,Adult,NV
45834577,Junior,Male,Young,NV
45833041,Jada,Female,Senior,NV
45831833,Staccs,Female,Adult,NV
45831517,Bailey,Male,Adult,NV
45828975,Lilly,Female,Young,NV
45828232,Annie,Female,Adult,NV
45828120,Ally,Female,Adult,NV
45821788,Oscar,Male,Adult,NV
45821826,Chance,Male,Senior,NV
45821772,Margeaux,Female,Adult,NV
45807576,Lulu,Female,Adult,NV
45807578,Shadow,Female,Young,NV
45807581,Tinker,Female,Adult,NV
45807582,Pepper,Male,Adult,NV
45807583,Spike,Male,Adult,NV
45807584,Carla,Female,Young,NV
45807585,Kaylie,Female,Adult,NV
45807587,Midnight,Female,Adult,NV
45807586,Athena,Female,Adult,NV
45807573,Carter,Male,Adult,NV
45797757,Oreo,Male,Adult,NV
45797240,Max,Male,Young,NV
45797231,Bradon,Male,Adult,NV
45791070,Bella,Female,Young,NV
45790688,Sprouse,Male,Young,NV
45790601,Berra,Female,Adult,NV
45790237,Addison,Female,Young,NV
45778237,Dougie,Male,Adult,NV
45772624,Yoshi,Male,Adult,NV
45770150,Gotchya,Female,Adult,NV
45767602,Copper,Male,Baby,NV
45767058,Journey,Male,Adult,NV
45767029,Elijah,Male,Adult,NV
45767023,Albert,Male,Young,NV
45766722,Beethoven,Male,Young,NV
45766515,Parker,Male,Young,NV
45766651,Duke,Male,Adult,NV
45760101,Russ,Male,Adult,NV
45759936,Bella,Female,Adult,NV
45755163,Shay,Female,Young,NV
45755148,Mia,Female,Adult,NV
45755134,Marvin,Male,Adult,NV
45754572,Lafayette,Male,Adult,NV
45751169,Ava,Female,Young,NV
45748689,Nicki,Female,Adult,NV
45748573,Shadow,Male,Young,AZ
45748545,Mike,Male,Young,AZ
45748504,Zeus,Male,Young,AZ
45745473,Maddie,Female,Adult,NV
45745442,Willie,Male,Baby,NV
45745137,Ren,Male,Young,NV
45745132,Tanner,Male,Young,NV
45745122,Toto,Male,Senior,NV
45745098,Jaz,Male,Baby,NV
45745093,Golden,Female,Adult,NV
45745087,Ellie,Female,Young,NV
45745084,Dolly,Female,Adult,NV
45745080,Dallas,Male,Adult,NV
45745065,Charlie,Female,Adult,NV
45744166,Matteo,Male,Adult,NV
45733265,Sophie,Female,Senior,NV
45733259,Bailee,Female,Adult,NV
45728306,Avalon,Female,Adult,NV
45727282,Katie,Female,Young,NV
45715803,Louie,Male,Adult,NV
45710620,Jordan,Male,Adult,NV
45709771,Lovegood,Female,Adult,NV
45705794,Bryn,Female,Adult,NV
45705778,Athena,Female,Young,NV
45700294,Kennedy,Female,Baby,NV
45700110,Kiki,Female,Adult,NV
45692092,Wrinkles,Male,Adult,NV
45692052,Bubba,Male,Adult,NV
45691956,Darth,Male,Senior,NV
45691692,Lexus,Female,Baby,NV
45674734,Halsey,Female,Baby,NV
45667997,Coco 2,Male,Adult,NV
45666953,Mallory,Female,Adult,NV
45666935,Ricky,Male,Adult,NV
45650124,Mcfly,Male,Adult,NV
45648835,Champ,Male,Adult,NV
45633217,Latte,Female,Adult,NV
45633206,Calypso,Male,Young,NV
45621645,Harlow,Female,Young,NV
45621638,Zuli,Female,Adult,NV
45621634,Zimbala,Female,Adult,NV
45613458,Diamond,Female,Adult,NV
45612989,Crayon,Male,Adult,NV
45612968,Cinder,Female,Young,NV
45612886,Cali,Female,Young,NV
45604798,Junior,Male,Adult,NV
45600601,Yony,Female,Senior,NV
45593879,Rocky,Male,Adult,NV
45590258,Beagly,Male,Adult,NV
45588556,Moose,Male,Adult,NV
45587734,Koko,Male,Young,NV
45586771,June,Female,Adult,NV
45583244,Ozzy,Male,Young,AZ
45578885,Rocsi,Male,Adult,NV
45573151,Sam,Male,Senior,NV
45572525,Lanessa,Female,Baby,AZ
45565250,Leo,Male,Young,NV
45565182,Suzuki,Female,Young,NV
45564932,Wednesday,Male,Adult,NV
45558264,Bounce,Male,Young,NV
45551876,Hannah,Female,Senior,NV
45523763,Detroit,Male,Young,NV
45523751,Boston,Male,Adult,NV
45513605,Rusty,Male,Adult,NV
45513431,Jameson,Male,Adult,NV
45510523,Lucy,Female,Adult,NV
45501366,Holden,Male,Adult,NV
45501300,Golden Boy (Cat Friendly),Male,Adult,NV
45501044,Cujo,Male,Senior,NV
45501001,Moo Moo,Female,Senior,NV
45491125,Rachel,Female,Young,NV
45490978,Gus Gus,Male,Senior,NV
45467177,Timo,Male,Young,NV
45466439,Jack,Male,Baby,NV
45463621,Jolene,Female,Baby,NV
45463513,Joby,Male,Young,NV
45463397,Esme,Female,Adult,NV
45452748,Neutron,Male,Senior,NV
45424358,Jade,Female,Senior,NV
45439257,Charleston,Male,Adult,NV
45439150,Sheila,Female,Adult,NV
45439151,Gg,Female,Adult,NV
45439218,Rex,Male,Adult,NV
45439103,Lewis,Male,Adult,NV
45439090,Gucci,Female,Adult,NV
45439110,Ben,Male,Adult,NV
45421273,Kane,Male,Adult,NV
45414725,Bobbie,Female,Young,NV
45414266,Carter,Male,Adult,NV
45406676,Trinket,Female,Young,NV
45406605,Tucker,Male,Adult,NV
45397802,Calista,Female,Senior,NV
45388959,Louise,Female,Young,AZ
45388946,Thelma,Female,Adult,AZ
45388932,Prince,Male,Young,AZ
45384405,Mika,Female,Young,AZ
45371852,Jay Or Jaymie,Male,Young,NV
45362628,Barkley,Male,Adult,NV
45352291,Kami,Female,Senior,NV
45351740,Fergie,Female,Young,NV
45350829,Gideon,Male,Young,NV
45343048,Chica,Female,Adult,NV
45341174,Michelle,Female,Adult,AZ
45340265,Farley,Female,Young,NV
45340256,Fanni,Female,Senior,NV
45336684,Kayce,Female,Senior,NV
45336528,Meadow,Female,Baby,NV
45327133,Milo,Female,Adult,NV
45322690,Shadow,Male,Young,NV
45311039,Blue,Male,Young,NV
45309135,Cuddles,Male,Adult,NV
45297354,Boots,Male,Young,NV
45296354,Cyberdyne,Male,Adult,AZ
45289127,Mustard,Male,Adult,NV
45287483,Max,Male,Adult,NV
45278243,Finnegan,Male,Young,NV
45277653,Mj,Male,Young,NV
45272327,Nilla,Female,Senior,NV
45272220,Homey,Male,Senior,NV
45263455,Mimi,Female,Adult,NV
45261668,Clyde,Male,Adult,NV
45261567,Bonnie,Female,Adult,NV
45239758,Odin,Male,Young,NV
45230264,Lucy,Female,Young,NV
45228475,Meme,Female,Young,NV
45228373,River,Female,Baby,NV
45221744,Milo,Male,Adult,NV
45210808,Hazel,Female,Baby,AZ
45201878,Roxy,Female,Adult,AZ
45183942,Jack,Male,Adult,NV
45183920,Rowan,Female,Adult,NV
45176293,Maggie May,Female,Young,NV
45175750,Kuma,Male,Adult,NV
45170501,Paco,Male,Senior,NV
45169148,Jainie,Female,Young,NV
45153915,Shelby,Female,Adult,NV
45147970,Cooper,Male,Adult,NV
45143789,Gracie,Female,Adult,NV
45143722,Wheezy,Female,Adult,NV
45124189,Tank,Male,Baby,AZ
45119219,Mona,Female,Senior,NV
45106152,Ambrosia,Female,Adult,NV
45087942,Peanut,Male,Senior,NV
45087306,Reese,Male,Adult,NV
45087241,Lola,Female,Senior,NV
45086913,Coco,Female,Adult,NV
45077588,Gamora,Female,Baby,NV
45065593,Heather,Female,Adult,NV
45008008,Zeke,Male,Adult,NV
44962783,Oso,Male,Young,NV
44962776,Estela,Female,Young,NV
44962456,Jasmine,Female,Adult,NV
44952844,Casey,Male,Adult,NV
44927832,Nero,Male,Adult,NV
44909817,Charo,Female,Young,NV
44899468,Manny,Female,Senior,NV
44880786,Mallory,Female,Baby,AZ
44880553,Morgana,Female,Baby,AZ
44868296,Nixie,Female,Baby,NV
44863119,Billy,Male,Adult,NV
44854314,Coco,Male,Senior,NV
44852701,Holly,Female,Baby,NV
44846707,Vanilla,Female,Young,NV
44846639,Chanel,Female,Young,NV
44844744,Koda,Male,Adult,AZ
44844576,Pinky,Female,Adult,AZ
44844513,Oden Jr.,Male,Adult,AZ
44844209,Roxy,Female,Adult,AZ
44844169,Cooper,Male,Adult,AZ
44844151,Brigid,Female,Adult,AZ
44844060,Boss,Male,Adult,AZ
44844042,Tipsy,Female,Adult,AZ
44837688,Tom,Male,Young,NV
44837041,Georgie,Male,Young,NV
44810061,Duke,Male,Young,NV
44809157,Humphrey,Male,Adult,NV
44809155,Elliott,Male,Senior,NV
44809150,Marley,Female,Adult,NV
44803694,Alice,Female,Senior,NV
44801851,Max,Male,Young,NV
44771531,Ranse,Male,Young,NV
44755411,Hemes,Male,Senior,NV
44739138,Dark,Male,Senior,NV
44731850,Forever,Female,Young,NV
44714242,Harry Potter,Male,Adult,NV
44713840,Stewy In Denver,Male,Senior,NV
44712916,Lucky,Male,Young,AZ
44712896,Felicia,Female,Baby,AZ
44712583,Atlas,Male,Adult,AZ
44702167,Norma Jean,Female,Senior,NV
44702151,Minnie Mouse,Female,Senior,NV
44695366,Spike,Male,Adult,NV
44685605,Lady,Female,Young,AZ
44618549,Linda,Female,Young,NV
44609112,Daisy (8),Female,Senior,NV
44577953,Tim,Male,Adult,NV
44573885,Israel,Male,Baby,AZ
44573876,Mali,Female,Baby,AZ
44562239,Ozzie,Male,Adult,NV
44531795,Star,Female,Young,NV
44531662,Cowboy,Male,Adult,NV
44531185,Champ,Male,Adult,AZ
44514846,Jake,Male,Young,NV
44514715,Diego,Male,Senior,NV
44495870,Doc,Male,Senior,NV
44493997,Chloe,Female,Adult,NV
44487776,Daisy,Female,Young,NV
44487767,Midge,Female,Young,NV
44487671,Goldy,Female,Adult,NV
44487210,Ricco,Male,Young,NV
44486942,Redman,Male,Adult,NV
44478362,Shilo,Female,Adult,NV
44478096,Tipsy,Female,Adult,AZ
44477567,Pinkie,Female,Adult,AZ
44477699,Mikey,Male,Young,NV
44470772,Luna,Female,Senior,NV
44470769,Steve,Male,Senior,NV
44470760,Bernard,Male,Senior,NV
44458918,Caleb,Male,Senior,NV
44452331,Mack,Male,Young,NV
44442765,Franky,Male,Baby,AZ
44403181,Lady Gaga,Female,Adult,NV
44369330,Jj,Male,Senior,NV
44340754,Mandy,Female,Senior,NV
44325782,Ursula,Female,Adult,NV
44289051,Coolie,Male,Adult,NV
44255203,Kiseki,Female,Adult,AZ
44232057,Lemontree,Male,Young,NV
44200288,Sox,Female,Senior,NV
44186033,Milky,Male,Young,NV
44180767,Schmooze,Female,Young,NV
44161617,Mercury,Male,Young,NV
44148405,Mack,Male,Adult,NV
44148385,Poppa,Male,Adult,NV
44148335,Lola,Female,Adult,NV
44148321,Jelly Bean,Male,Adult,NV
44148298,Egon,Male,Adult,NV
44140702,Jaki,Female,Young,NV
44119010,Valor,Male,Young,NV
44118994,Dixie,Female,Adult,NV
44118969,Macha,Female,Adult,NV
44118962,Morgan,Female,Adult,NV
44118935,Vlad,Male,Adult,NV
44114794,Sienna,Female,Young,NV
44114733,Doug,Male,Adult,NV
44111114,Bria,Female,Baby,NV
44106910,Sky,Female,Adult,NV
44087563,Peewee,Male,Senior,NV
44070750,Pancho,Male,Young,NV
44070635,Lucy,Female,Young,NV
44070486,Johnny,Male,Baby,NV
44065965,Bonny,Male,Young,NV
44065273,Peewee,Male,Adult,NV
44022637,Julie,Female,Adult,NV
43986905,Blitz,Male,Adult,AZ
43986869,Speedy,Male,Adult,AZ
43965291,Poppy,Female,Young,NV
43965236,Lil Mama,Female,Young,NV
43917155,Beah,Female,Young,NV
43901251,Tasha,Female,Senior,NV
43875746,Rosie,Female,Young,NV
43865125,East,Female,Adult,NV
43821123,Karma,Female,Adult,NV
43821091,Cha Cha,Female,Adult,NV
43772951,Knight,Male,Adult,NV
43766428,Marvel,Female,Adult,NV
43694707,Betty,Female,Adult,NV
43694705,Jojo,Male,Adult,NV
43694702,Carmella,Female,Adult,NV
43682686,Maggie,Female,Adult,NV
43663794,Pudge,Female,Adult,NV
43663762,Tyson,Male,Senior,NV
43663743,Mr. Toad,Male,Senior,NV
43663728,Jack,Male,Senior,NV
43663713,Issa,Female,Adult,NV
43663692,Heidi,Female,Adult,NV
43663610,Foxy Roxy,Female,Adult,NV
43663589,Elvi,Female,Adult,NV
43663552,Candy Roo,Female,Senior,NV
43615306,Paige,Female,Adult,NV
43545868,Josie,Female,Young,NV
43529130,Diego,Male,Young,NV
43522315,Cupcake,Female,Baby,NV
43513820,Buttercup,Female,Baby,NV
43398482,Pantera,Female,Baby,NV
43391057,Jax,Male,Young,NV
43385226,Lilly,Female,Young,AZ
43384345,Ash,Female,Adult,NV
43368770,Ginger,Female,Young,NV
43368363,Daisy,Female,Adult,NV
43357850,Pablo,Male,Young,NV
43318603,Apollo,Male,Young,NV
43296279,Shelby,Male,Young,AZ
43283220,Dillon,Male,Young,NV
43270596,Bella,Female,Young,NV
43264663,Doobie,Male,Adult,NV
43188046,Falcor,Male,Adult,NV
43175667,Rosie,Female,Adult,NV
43113459,Meghan,Female,Young,NV
43033099,Gigi,Female,Senior,NV
42914497,Mika,Female,Adult,NV
42914272,Angel,Female,Adult,NV
42899655,Yogui,Male,Senior,NV
42775362,Mari,Female,Adult,AZ
42774946,Beanie,Male,Adult,NV
42758223,Toby,Male,Adult,NV
42674432,Coby,Male,Young,NV
42634250,Athena,Female,Young,NV
42625430,Penelope,Female,Young,NV
42589570,Maui,Female,Baby,NV
42589559,Maka,Female,Young,NV
42589524,Johnny,Male,Senior,NV
42589496,Gloria,Female,Young,NV
42589455,Chloe,Female,Adult,NV
42565420,Icing,Male,Adult,NV
42359976,Momma Gallant,Female,Young,NV
42340762,Pookie,Female,Young,NV
42322513,Stewart,Male,Senior,NV
42289296,Lucky,Female,Senior,AZ
42006865,Dublin,Male,Adult,NV
42000419,Red,Male,Adult,NV
41965530,Jojo,Male,Senior,NV
41902940,Luke,Male,Senior,AZ
41829762,Opie,Male,Young,NV
41824151,Ryder Cup,Male,Senior,NV
41648732,Beautiful,Female,Adult,NV
41648708,Tater,Male,Adult,NV
41623960,Kiwi,Female,Adult,NV
41531332,Cowboy,Male,Young,NV
41227791,Paulie,Male,Senior,NV
41215195,Buddy,Male,Adult,NV
41197723,Chauncey,Male,Young,NV
40883171,Shadow,Male,Adult,NV
40784475,Vivian,Female,Young,NV
40734432,Major,Male,Adult,NV
40688674,Dakkar,Male,Senior,AZ
40688659,Cayenne,Male,Senior,AZ
40688285,Talon,Male,Adult,AZ
40688005,Jamocha,Female,Adult,AZ
40687807,Madison,Female,Senior,AZ
40680817,Cheyenne,Female,Senior,AZ
40680663,Pearl,Female,Senior,AZ
40647344,Blake,Male,Adult,NV
40587956,King,Male,Young,NV
40119602,Oscar,Male,Young,NV
39817512,Ty,Male,Adult,NV
39667455,Panda,Female,Young,NV
39583342,Duke Aka Onyx,Male,Young,NV
39391562,Vader,Male,Adult,NV
39191423,Flower,Female,Adult,NV
38957757,Fivel (Lucky),Male,Adult,NV
38806687,Ducky,Male,Adult,NV
38663127,Catori,Female,Adult,NV
38659033,Chance,Male,Adult,NV
38370721,Sprocket,Male,Senior,NV
38077212,Spirit,Female,Adult,NV
37716186,Pj,Male,Adult,AZ
37686939,Keats,Male,Adult,NV
37399145,Rocket Aka Bella,Female,Young,NV
36765299,Tenille,Female,Adult,NV
36765151,Captain,Male,Adult,NV
36763186,Deva,Female,Adult,NV
36763047,Ajay,Male,Adult,NV
36761845,Rambo,Male,Adult,NV
36761472,Foxy,Female,Senior,NV
35866006,Sage,Female,Young,NV
35816586,Smokey,Male,Adult,NV
35433591,Janis,Female,Adult,NV
35395589,Spartacus,Male,Adult,NV
35395555,Ferdinand,Male,Adult,NV
35298717,Kevin,Male,Adult,NV
35274801,Cody,Male,Young,NV
35103390,Madison,Female,Adult,NV
35031169,Hollywood,Male,Adult,NV
35011875,Duke,Male,Young,NV
34908896,Raven,Female,Young,NV
34649353,Buckeye,Male,Young,NV
34524348,Tilly/Clover,Female,Adult,NV
34052037,Dolly,Female,Adult,NV
33780768,Mamma's Buck Aka Jackson,Male,Adult,NV
33780130,Cloe,Female,Young,NV
33588343,Roxy,Female,Young,NV
33425453,Buck,Male,Young,NV
33233127,Lele,Female,Adult,NV
31317125,Snowflake,Female,Adult,NV
31299282,Ginger,Female,Adult,AZ
30649417,Buddy 2,Male,Senior,NV
29558076,Zeus,Male,Adult,NV
29522362,Red Rover,Male,Young,NV
28973123,Sasha,Female,Young,NV
28741668,Juliette,Female,Adult,NV
28644289,River Aka Toby,Male,Young,NV
28471870,Luck Lue,Female,Young,NV
27972742,Bobbie,Male,Young,NV
27572017,J-Low,Female,Adult,NV
27521345,Lucky,Male,Young,NV
27477291,Echo,Female,Young,NV
26737824,Arnold,Male,Young,NV
26737234,Ashley,Female,Young,NV
26558887,Prince,Male,Adult,NV
26363353,Brownie,Male,Young,NV
26333998,Chi-Flo,Male,Adult,NV
25630658,Cheeto,Female,Young,NV
25611106,Dover,Male,Young,NV
24296969,Winnie's Willow Aka Ewok,Female,Adult,NV
22714514,Wylie,Male,Young,NV
22316296,Amos Aka Ruger,Male,Young,NV
21371991,Jameel,Male,Young,NV
20538958,Blue Boy,Male,Young,NV
20346632,Ds's Kaden Aka Milo,Male,Young,NV
18399413,Rocko,Male,Adult,NV
17502458,Red Ridge Aka Hunter,Male,Young,NV
15953397,Nala,Female,Adult,NV
15099386,S's Terrance,Male,Young,NV
15099393,S's Whiplash Aka Roxy,Female,Young,NV
14944514,Leina's Maka Aka Shaggy,Male,Young,NV
14889388,L's Lizard,Male,Young,NV
14838677,Lulu,Female,Young,NV
13558111,Lennon,Male,Young,NV
13326032,Diamond,Female,Senior,NV
13085754,S's Starburst Aka Rocky,Male,Young,NV
11037014,Jake,Male,Adult,NV
10446173,Hemy,Male,Adult,NV
10354086,Nando,Male,Adult,NV
10226253,Conner,Male,Young,NV
10076688,Celeb,Male,Adult,NV
9302167,Pixie Aka Holly,Female,Young,NV
